epoch,best_value,average_value
0,68.051389,41.188748
1,79.802445,52.74952
2,93.549009,64.667208
3,104.848008,69.955305
4,106.765292,80.902467
5,112.265245,87.201946
6,112.47107,88.994737
7,113.185477,94.805873
8,117.223033,96.289396
9,117.223033,102.220109
10,117.234217,101.026571
11,117.234217,101.694597
12,117.234217,100.11596
13,117.234217,96.350075
14,117.234217,98.392024
15,120.058457,103.797449
16,120.058457,104.930496
17,121.496318,108.557872
18,121.512967,110.794829
19,121.512967,114.479894
20,121.677074,116.312024
21,123.132215,116.186057
22,123.156501,117.064807
23,123.229738,117.464386
24,123.229738,118.471129
25,123.575467,118.092743
26,123.738001,117.628524
27,123.797302,118.029051
28,124.057179,117.287685
29,124.057179,119.002594
30,124.057179,117.087424
31,124.173478,118.913769
32,124.281216,119.168904
33,124.419707,120.095573
34,124.588624,120.08637
35,124.690516,119.373571
36,124.692075,119.076516
37,124.734658,118.114181
38,124.749938,118.236767
39,124.789621,121.941586
40,124.835302,120.883749
41,124.887118,121.367685
42,124.887118,121.329586
43,124.899324,118.171556
44,124.899324,122.179432
45,124.908471,121.243922
46,124.948132,119.717688
47,124.948133,120.408025
48,124.969488,121.21222
49,124.969488,121.578667
50,124.969488,120.485715
51,124.971011,118.549118
52,124.972537,119.980504
53,124.993897,120.029403
54,124.993897,122.226448
55,124.993897,122.765093
56,124.993897,122.715116
57,124.995422,119.827995
58,124.998474,118.39836
59,124.998474,119.538007
60,124.998474,122.384372
61,124.998474,121.243728
62,124.998474,121.455761
63,124.998474,119.310817
64,124.998474,121.913574
65,124.998474,120.217716
66,124.998474,119.63699
67,125.0,121.069303
68,125.0,121.594349
69,125.0,121.018405
70,125.0,123.797809
71,125.0,121.331451
72,125.0,120.357961
73,125.0,123.063399
74,125.0,121.943932
75,125.0,120.845498
76,125.0,120.995259
77,125.0,123.113207
78,125.0,121.046652
79,125.0,120.935409
80,125.0,121.258896
81,125.0,122.28156
82,125.0,120.029641
83,125.0,120.421013
84,125.0,122.504061
85,125.0,121.678067
86,125.0,120.836508
87,125.0,122.279096
88,125.0,119.670912
89,125.0,121.874807
90,125.0,121.450186
91,125.0,121.27983
92,125.0,120.976482
93,125.0,121.86768
94,125.0,121.382503
95,125.0,121.685933
96,125.0,119.71006
97,125.0,120.121896
98,125.0,121.639543
99,125.0,121.878098
